TitleId,CompMain,CompExtra,Comp100
1096157212,5,7,12
1096157378,0,0,0
1431504961,6,6,0
1480657342,20,44,94
1480657006,1,8,0
1480659974,8,9,10
1480656976,0,0,0
1480657305,14,15,16
1480657513,0,1,0
1129121749,17,21,27
1480659985,3,12,36
1279330260,7,10,12
1096157479,26,114,207
1112934436,8,10,25
1481968449,17,20,29
1129121861,9,11,17
1297287162,50,69,106
1414793261,11,14,24
1480659944,10,14,33
1096157183,6,7,25
1480656877,8,13,29
1480657577,1,3,0
1161890267,75,143,242
1297287356,7,14,29
1296762834,0,26,0
1112737766,26,114,207
1144391639,4,5,16
1480657807,0,0,0
1414793201,12,36,0
1481968510,0,0,0
1480659503,2,4,0
1396967420,5,21,81
1161889769,14,22,31
1480660044,10,16,36
1480657707,2,5,13
1480659971,6,8,10
1161889840,7,19,60
1482164298,4,5,8
1096157248,8,25,81
1480657649,0,0,0
1464993793,2,0,0
1161889968,2,0,0
1096157327,9,11,14
1480657075,3,0,0
1481968453,0,0,0
1161890217,45,0,0
1297549273,4,8,0
1297549271,6,6,7
1480659612,1,3,4
1480657297,0,0,0
1179846615,19,26,48
1397033023,6,8,14
1096157458,0,0,0
1263405024,5,0,0
1481968137,0,0,0
1481968039,0,0,0
1161890018,15,35,56
1096157331,28,0,0
1481968065,5,7,11
1161890283,28,50,79
1096157325,0,0,0
1179584474,0,0,0
1128466461,6,8,16
1414793210,0,35,265
1096157478,19,21,22
1480657314,1,1,2
1397819386,23,31,46
1128466406,0,13,30
1414596665,0,0,10
1161890205,13,16,24
1414793383,32,50,85
1414793313,11,14,24
1096157417,9,21,35
1096157434,6,7,9
1480657371,7,11,14
1480659451,6,10,24
1480656850,1,3,5
1480660046,0,0,0
1481968343,11,12,13
1128466438,1,13,115
1146095607,7,9,11
1161889989,9,14,24
1396901860,8,11,16
1161889903,2,0,10
1096288216,1,3,11
1480659981,11,13,15
1297287122,10,11,17
1480657263,2,0,0
1480659414,4,11,48
1280509932,13,15,16
1482164369,6,7,8
1481967918,0,0,0
1414793357,6,8,15
1481968363,0,0,0
1448150998,0,0,0
1480659418,2,0,10
1212483546,0,0,0
1480657698,6,10,17
1161889885,19,0,40
1480657795,7,9,15
1480657168,0,0,0
1161889855,0,5,0
1481967860,10,10,10
1481968041,0,0,0
1397819398,28,42,72
1480657011,2,4,0
1480656915,1,1,2
1480657283,8,8,16
1480657692,5,6,8
1111558109,0,48,0
1481968202,0,0,0
1414793323,10,13,32
1129121858,16,23,38
1481968376,9,10,62
1397033050,0,0,0
1480659999,10,22,44
1480657495,0,0,40
1229391876,29,63,127
1480657351,0,0,0
1480657090,3,4,5
1297287617,18,30,38
1414596586,6,9,10
1480657388,4,0,0
1414793189,5,17,53
1480657049,0,0,0
1431504852,15,20,31
1480657198,0,0,0
1161889930,3,0,15
1480656992,13,26,45
1480659416,10,17,29
1397033032,6,11,24
1296697328,0,0,0
1481968120,0,0,3
1161889824,9,0,15
1397032918,16,19,25
1397032946,4,5,9
1480659508,3,3,3
926091225,10,0,0
1414596725,0,0,8
1480656977,1,0,0
1129121817,14,21,28
1481968362,0,0,0
1397032929,15,16,20
1480660008,7,7,9
1414596646,7,15,35
1480657052,0,0,0
1161889897,9,62,145
1431504903,8,12,24
1431504911,5,6,6
1431504854,8,12,24
1128466400,7,10,17
1396901861,4,5,10
1414793171,0,0,50
1397033053,8,18,44
1161890133,4,5,8
1480659560,3,4,6
